Date,Location,Weekday,Time of order called,Type of drink,Caffeinated,Party Size ,Linger time ,,,,
2025/03/10,UCSD PC Starbucks ,Monday,13:59,"Cold Coffee, Frappuccino Blended Beverage",Yes,2,2,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:00,"Cold Coffee, Frappuccino Blended Beverage",Yes,2,60,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:01,Cold Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:01,Cold Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:03,"Refreshers, Frappuccino Blended Beverage",Yes,2,45,,,Types of drinks ,Caffeinated 
2025/03/10,UCSD PC Starbucks ,Monday,14:03,Hot Chocolate Lemonade & more,No,4,0,,,Hot Coffee,
2025/03/10,UCSD PC Starbucks ,Monday,14:06,"Frappuccino Blended Beverage, Cold Coffee,  Cold Tea",Yes,2,10,,,Cold Coffee,
2025/03/10,UCSD PC Starbucks ,Monday,14:08,Refreshers,No,1,10,,,Hot Tea,
2025/03/10,UCSD PC Starbucks ,Monday,14:08,Cold Tea,Yes,1,0,,,Cold Tea,
2025/03/10,UCSD PC Starbucks ,Monday,14:09,Cold Tea,Yes,1,0,,,Refreshers,
2025/03/10,UCSD PC Starbucks ,Monday,14:10,Frappuccino Blended Beverage,Yes,1,0,,,Frappuccino Blended Beverage,
2025/03/10,UCSD PC Starbucks ,Monday,14:10,Cold Coffee,Yes,1,4,,,Iced Energy,
2025/03/10,UCSD PC Starbucks ,Monday,14:11,Refreshers,No,1,0,,,"Hot Chocolate, Lemonade & more",
2025/03/10,UCSD PC Starbucks ,Monday,14:14,Hot Coffee,Yes,2,3,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:14,"Cold Tea,  Hot Chocolate Lemonade & more",Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:18,Cold Tea,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:21,Cold Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:22,Cold Tea,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:24,"Cold Coffee, Iced Energy",Yes,2,2,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:24,Cold Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:26,"Hot Coffee, Cold Coffee, Refreshers",Yes,3,15,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:27,Cold Coffee,Yes,2,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:28,Cold Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:32,Refreshers,No,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:33,"Cold Coffee,  Cold Tea, Refreshers",Yes,3,2,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:34,Cold Coffee,Yes,2,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:34,"Hot Coffee, Cold Coffee",Yes,2,45,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:36,Hot Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:37,Hot Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:37,Hot Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:38,Cold Coffee,Yes,1,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:39,"Refreshers, Iced Energy",Yes,2,0,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:40,""" Hot Chocolate, Lemonade & more"", Cold Coffee",Yes,2,7,,,,
2025/03/10,UCSD PC Starbucks ,Monday,14:40,Cold Coffee,Yes,1,0,,,,
